"CPI","Component","Characteristics","Interpretation"
"CPI: FFBSS: Fruits & Nuts (FN)","Residual","Residual range = 4.574","Relatively high irregular fluctuations."
"CPI: FFBSS: Vegetables","Trend","Trend change = 13.225","Strong upward trend over the sample period."
"CPI: FFBSS: Vegetables","Seasonality","Seasonal range = 2.625","Noticeable seasonal variation."
"CPI: FFBSS: Vegetables","Residual","Residual range = 2.506","Moderate irregular variation."
"CPI: FFBSS: Sugar, Confectionery & Desserts (SCD)","Trend","Trend change = 11.136","Strong upward trend over the sample period."
"CPI: FFBSS: Sugar, Confectionery & Desserts (SCD)","Seasonality","Seasonal range = 1.968","Noticeable seasonal variation."
"CPI: FFBSS: Sugar, Confectionery & Desserts (SCD)","Residual","Residual range = 3.827","Relatively high irregular fluctuations."
"CPI: FFBSS: Ready-Made & Oth. Food Nec","Trend","Trend change = 13.194","Strong upward trend over the sample period."
"CPI: FFBSS: Ready-Made & Oth. Food Nec","Seasonality","Seasonal range = 1.108","Mild seasonal pattern."
"CPI: FFBSS: Ready-Made & Oth. Food Nec","Residual","Residual range = 1.687","Moderate irregular variation."
"CPI: FFBSS: Non-Alcoholic Beverages","Trend","Trend change = 15.766","Strong upward trend over the sample period."
"CPI: FFBSS: Non-Alcoholic Beverages","Seasonality","Seasonal range = 1.396","Mild seasonal pattern."
"CPI: FFBSS: Non-Alcoholic Beverages","Residual","Residual range = 1.935","Moderate irregular variation."
"CPI: Clothing and Footwear (C&F)","Trend","Trend change = -1.274","Relatively stable long-term trend."
"CPI: Clothing and Footwear (C&F)","Seasonality","Seasonal range = 3.89","Noticeable seasonal variation."
"CPI: Clothing and Footwear (C&F)","Residual","Residual range = 5.241","Relatively high irregular fluctuations."
"CPI: C&F: Clothing","Trend","Trend change = -2.003","Relatively stable long-term trend."
"CPI: C&F: Clothing","Seasonality","Seasonal range = 3.879","Noticeable seasonal variation."
"CPI: C&F: Clothing","Residual","Residual range = 4.54","Relatively high irregular fluctuations."
"CPI: C&F: Footwear","Trend","Trend change = 1.084","Relatively stable long-term trend."
"CPI: C&F: Footwear","Seasonality","Seasonal range = 5.403","Noticeable seasonal variation."
"CPI: C&F: Footwear","Residual","Residual range = 9.973","Relatively high irregular fluctuations."
"CPI: Housing & Utilities","Trend","Trend change = 13.706","Strong upward trend over the sample period."
"CPI: Housing & Utilities","Seasonality","Seasonal range = 2.191","Noticeable seasonal variation."
"CPI: Housing & Utilities","Residual","Residual range = 1.58","Moderate irregular variation."
"CPI: Housing & Utilities: Accommodation","Trend","Trend change = 12.953","Strong upward trend over the sample period."
"CPI: Housing & Utilities: Accommodation","Seasonality","Seasonal range = 2.592","Noticeable seasonal variation."
"CPI: Housing & Utilities: Accommodation","Residual","Residual range = 1.554","Moderate irregular variation."
"CPI: Housing & Utilities: Utilities & Other Fuels","Trend","Trend change = 19.074","Strong upward trend over the sample period."
"CPI: Housing & Utilities: Utilities & Other Fuels","Seasonality","Seasonal range = 1.264","Mild seasonal pattern."
"CPI: Housing & Utilities: Utilities & Other Fuels","Residual","Residual range = 5.825","Relatively high irregular fluctuations."
"CPI: Household Durables & Services (HDS)","Trend","Trend change = 5.395","Moderate upward trend."
"CPI: Household Durables & Services (HDS)","Seasonality","Seasonal range = 0.52","Very weak seasonality."
"CPI: Household Durables & Services (HDS)","Residual","Residual range = 0.677","Series is relatively stable with small random noise."
"CPI: HDS: Furniture & Furnishings","Trend","Trend change = 7.66","Moderate upward trend."
"CPI: HDS: Furniture & Furnishings","Seasonality","Seasonal range = 1.258","Mild seasonal pattern."
"CPI: HDS: Furniture & Furnishings","Residual","Residual range = 2.841","Moderate irregular variation."
"CPI: HDS: Household Textiles","Trend","Trend change = -4.591","Moderate upward trend."
"CPI: HDS: Household Textiles","Seasonality","Seasonal range = 1.017","Mild seasonal pattern."
"CPI: HDS: Household Textiles","Residual","Residual range = 5.528","Relatively high irregular fluctuations."
"CPI: HDS: Household Appliances","Trend","Trend change = 4.16","Moderate upward trend."
"CPI: HDS: Household Appliances","Seasonality","Seasonal range = 1.191","Mild seasonal pattern."
"CPI: HDS: Household Appliances","Residual","Residual range = 2.044","Moderate irregular variation."
"CPI: HDS: Glassware, Tableware & Household Utensils","Trend","Trend change = 0.787","Relatively stable long-term trend."
"CPI: HDS: Glassware, Tableware & Household Utensils","Seasonality","Seasonal range = 1.28","Mild seasonal pattern."
"CPI: HDS: Glassware, Tableware & Household Utensils","Residual","Residual range = 4.084","Relatively high irregular fluctuations."
"CPI: HDS: Tools & Equipment For House & Garden","Trend","Trend change = 11.768","Strong upward trend over the sample period."
"CPI: HDS: Tools & Equipment For House & Garden","Seasonality","Seasonal range = 1.051","Mild seasonal pattern."
"CPI: HDS: Tools & Equipment For House & Garden","Residual","Residual range = 3.389","Relatively high irregular fluctuations."
"CPI: HDS: Household Services & Supplies (HSS)","Trend","Trend change = 5.742","Moderate upward trend."
"CPI: HDS: Household Services & Supplies (HSS)","Seasonality","Seasonal range = 0.282","Very weak seasonality."
"CPI: HDS: Household Services & Supplies (HSS)","Residual","Residual range = 0.648","Series is relatively stable with small random noise."
"CPI: Health","Trend","Trend change = 13.382","Strong upward trend over the sample period."
"CPI: Health","Seasonality","Seasonal range = 0.826","Very weak seasonality."
"CPI: Health","Residual","Residual range = 1.429","Moderate irregular variation."
"CPI: Health: Medicines & Health Products","Trend","Trend change = 3.255","Moderate upward trend."
"CPI: Health: Medicines & Health Products","Seasonality","Seasonal range = 1.318","Mild seasonal pattern."
"CPI: Health: Medicines & Health Products","Residual","Residual range = 3.461","Relatively high irregular fluctuations."
"CPI: Health: Outpatient Services","Trend","Trend change = 11.696","Strong upward trend over the sample period."
"CPI: Health: Outpatient Services","Seasonality","Seasonal range = 0.712","Very weak seasonality."
"CPI: Health: Outpatient Services","Residual","Residual range = 2.05","Moderate irregular variation."
"CPI: Health: Inpatient Services","Trend","Trend change = 11.468","Strong upward trend over the sample period."
"CPI: Health: Inpatient Services","Seasonality","Seasonal range = 1.075","Mild seasonal pattern."
"CPI: Health: Inpatient Services","Residual","Residual range = 2.419","Moderate irregular variation."
"CPI: Health: Other Health Services (OHS)","Trend","Trend change = 14.447","Strong upward trend over the sample period."
"CPI: Health: Other Health Services (OHS)","Seasonality","Seasonal range = 0.816","Very weak seasonality."
"CPI: Health: Other Health Services (OHS)","Residual","Residual range = 2.159","Moderate irregular variation."
"CPI: Health: Health Insurance","Trend","Trend change = 26.086","Strong upward trend over the sample period."
"CPI: Health: Health Insurance","Seasonality","Seasonal range = 2.241","Noticeable seasonal variation."
"CPI: Health: Health Insurance","Residual","Residual range = 4.691","Relatively high irregular fluctuations."
"CPI: Transport","Trend","Trend change = 28.747","Strong upward trend over the sample period."
"CPI: Transport","Seasonality","Seasonal range = 1.029","Mild seasonal pattern."
"CPI: Transport","Residual","Residual range = 5.026","Relatively high irregular fluctuations."
"CPI: Transport: Private Transport","Trend","Trend change = 32.657","Strong upward trend over the sample period."
"CPI: Transport: Private Transport","Seasonality","Seasonal range = 2.098","Noticeable seasonal variation."
"CPI: Transport: Private Transport","Residual","Residual range = 6.707","Relatively high irregular fluctuations."
"CPI: Transport: Land Transport Services","Trend","Trend change = 21.713","Strong upward trend over the sample period."
"CPI: Transport: Land Transport Services","Seasonality","Seasonal range = 2.714","Noticeable seasonal variation."
"CPI: Transport: Land Transport Services","Residual","Residual range = 3.586","Relatively high irregular fluctuations."
"CPI: Transport: Other Transport Services","Trend","Trend change = 7.698","Moderate upward trend."
"CPI: Transport: Other Transport Services","Seasonality","Seasonal range = 8.1","Noticeable seasonal variation."
"CPI: Transport: Other Transport Services","Residual","Residual range = 15.037","Relatively high irregular fluctuations."
"CPI: Transport: Transport Services Of Goods","Trend","Trend change = 7.645","Moderate upward trend."
"CPI: Transport: Transport Services Of Goods","Seasonality","Seasonal range = 2.276","Noticeable seasonal variation."
"CPI: Transport: Transport Services Of Goods","Residual","Residual range = 7.511","Relatively high irregular fluctuations."
"CPI: Information & Communication (InfoComm)","Trend","Trend change = 0.057","Relatively stable long-term trend."
"CPI: Information & Communication (InfoComm)","Seasonality","Seasonal range = 1.207","Mild seasonal pattern."
"CPI: Information & Communication (InfoComm)","Residual","Residual range = 2.296","Moderate irregular variation."
"CPI: InfoComm: Information & Communication Equipment","Trend","Trend change = -2.587","Relatively stable long-term trend."
"CPI: InfoComm: Information & Communication Equipment","Seasonality","Seasonal range = 2.499","Noticeable seasonal variation."
"CPI: InfoComm: Information & Communication Equipment","Residual","Residual range = 5.937","Relatively high irregular fluctuations."
"CPI: InfoComm: Software Excl Games","Trend","Trend change = -3.031","Relatively stable long-term trend."
"CPI: InfoComm: Software Excl Games","Seasonality","Seasonal range = 0.556","Very weak seasonality."
"CPI: InfoComm: Software Excl Games","Residual","Residual range = 2.223","Moderate irregular variation."
"CPI: InfoComm: InfoComm Services","Trend","Trend change = 0.652","Relatively stable long-term trend."
"CPI: InfoComm: InfoComm Services","Seasonality","Seasonal range = 1.016","Mild seasonal pattern."
"CPI: InfoComm: InfoComm Services","Residual","Residual range = 2.069","Moderate irregular variation."
"CPI: Recreation, Sport & Culture (RSC)","Trend","Trend change = 13.726","Strong upward trend over the sample period."
"CPI: Recreation, Sport & Culture (RSC)","Seasonality","Seasonal range = 2.302","Noticeable seasonal variation."
"CPI: Recreation, Sport & Culture (RSC)","Residual","Residual range = 2.436","Moderate irregular variation."
"CPI: RSC: Recreational & Cultural Goods","Trend","Trend change = 2.573","Relatively stable long-term trend."
"CPI: RSC: Recreational & Cultural Goods","Seasonality","Seasonal range = 0.971","Very weak seasonality."
"CPI: RSC: Recreational & Cultural Goods","Residual","Residual range = 2.804","Moderate irregular variation."
"CPI: RSC: Other Recreational Goods (ORG)","Trend","Trend change = -2.368","Relatively stable long-term trend."
"CPI: RSC: Other Recreational Goods (ORG)","Seasonality","Seasonal range = 1.303","Mild seasonal pattern."
"CPI: RSC: Other Recreational Goods (ORG)","Residual","Residual range = 3.517","Relatively high irregular fluctuations."
"CPI: RSC: Garden Products & Pets","Trend","Trend change = 13.157","Strong upward trend over the sample period."
"CPI: RSC: Garden Products & Pets","Seasonality","Seasonal range = 0.781","Very weak seasonality."
"CPI: RSC: Garden Products & Pets","Residual","Residual range = 2.01","Moderate irregular variation."
"CPI: RSC: Recreational Services","Trend","Trend change = 18.64","Strong upward trend over the sample period."
"CPI: RSC: Recreational Services","Seasonality","Seasonal range = 1.708","Mild seasonal pattern."
"CPI: RSC: Recreational Services","Residual","Residual range = 2.257","Moderate irregular variation."
"CPI: RSC: Cultural Services","Trend","Trend change = 13.21","Strong upward trend over the sample period."
"CPI: RSC: Cultural Services","Seasonality","Seasonal range = 1.022","Mild seasonal pattern."
"CPI: RSC: Cultural Services","Residual","Residual range = 2.605","Moderate irregular variation."
"CPI: RSC: Newspapers, Books & Stationery (NBS)","Trend","Trend change = 3.607","Moderate upward trend."
"CPI: RSC: Newspapers, Books & Stationery (NBS)","Seasonality","Seasonal range = 0.276","Very weak seasonality."
"CPI: RSC: Newspapers, Books & Stationery (NBS)","Residual","Residual range = 0.608","Series is relatively stable with small random noise."
"CPI: RSC: Holiday Expenses","Trend","Trend change = 14.064","Strong upward trend over the sample period."
"CPI: RSC: Holiday Expenses","Seasonality","Seasonal range = 4.276","Noticeable seasonal variation."
"CPI: RSC: Holiday Expenses","Residual","Residual range = 4.343","Relatively high irregular fluctuations."
"CPI: Education","Trend","Trend change = 9.435","Moderate upward trend."
"CPI: Education","Seasonality","Seasonal range = 0.724","Very weak seasonality."
"CPI: Education","Residual","Residual range = 1.424","Moderate irregular variation."
"CPI: Education: General, Vocational & Higher Education (GVH Edu)","Trend","Trend change = 5.411","Moderate upward trend."
"CPI: Education: General, Vocational & Higher Education (GVH Edu)","Seasonality","Seasonal range = 0.42","Very weak seasonality."
"CPI: Education: General, Vocational & Higher Education (GVH Edu)","Residual","Residual range = 1.424","Moderate irregular variation."
"CPI: Education: Private Tuition & Other Educational Courses","Trend","Trend change = 17.759","Strong upward trend over the sample period."
"CPI: Education: Private Tuition & Other Educational Courses","Seasonality","Seasonal range = 2.13","Noticeable seasonal variation."
"CPI: Education: Private Tuition & Other Educational Courses","Residual","Residual range = 2.084","Moderate irregular variation."
"CPI: Education: School Textbooks & Study Guides","Trend","Trend change = 4.531","Moderate upward trend."
"CPI: Education: School Textbooks & Study Guides","Seasonality","Seasonal range = 0.259","Very weak seasonality."
"CPI: Education: School Textbooks & Study Guides","Residual","Residual range = 0.556","Series is relatively stable with small random noise."
"CPI: Miscellaneous Goods & Services (MG&S)","Trend","Trend change = 4.163","Moderate upward trend."
"CPI: Miscellaneous Goods & Services (MG&S)","Seasonality","Seasonal range = 0.737","Very weak seasonality."
"CPI: Miscellaneous Goods & Services (MG&S)","Residual","Residual range = 1.143","Moderate irregular variation."
"CPI: MG&S: Personal Care","Trend","Trend change = 4.774","Moderate upward trend."
"CPI: MG&S: Personal Care","Seasonality","Seasonal range = 0.978","Mild seasonal pattern."
"CPI: MG&S: Personal Care","Residual","Residual range = 1.439","Moderate irregular variation."
"CPI: MG&S: Alcoholic Drinks & Tobacco","Trend","Trend change = 13.405","Strong upward trend over the sample period."
"CPI: MG&S: Alcoholic Drinks & Tobacco","Seasonality","Seasonal range = 2.035","Noticeable seasonal variation."
"CPI: MG&S: Alcoholic Drinks & Tobacco","Residual","Residual range = 4.625","Relatively high irregular fluctuations."
"CPI: MG&S: Personal Effects","Trend","Trend change = 1.524","Relatively stable long-term trend."
"CPI: MG&S: Personal Effects","Seasonality","Seasonal range = 0.903","Very weak seasonality."
"CPI: MG&S: Personal Effects","Residual","Residual range = 5.029","Relatively high irregular fluctuations."
"CPI: MG&S: Social Services","Trend","Trend change = -4.444","Moderate upward trend."
"CPI: MG&S: Social Services","Seasonality","Seasonal range = 1.008","Mild seasonal pattern."
"CPI: MG&S: Social Services","Residual","Residual range = 2.734","Moderate irregular variation."
"CPI: MG&S: Other Miscellaneous Services","Trend","Trend change = -3.13","Moderate upward trend."
"CPI: MG&S: Other Miscellaneous Services","Seasonality","Seasonal range = 1.401","Mild seasonal pattern."
"CPI: MG&S: Other Miscellaneous Services","Residual","Residual range = 3.201","Relatively high irregular fluctuations."
"CPI: Food & Beverage Serving Services (FBSS)","Trend","Trend change = 15.973","Strong upward trend over the sample period."
"CPI: Food & Beverage Serving Services (FBSS)","Seasonality","Seasonal range = 0.489","Very weak seasonality."
"CPI: Food & Beverage Serving Services (FBSS)","Residual","Residual range = 1.446","Moderate irregular variation."
"CPI: FBSS: Restaurants, Cafes & Pubs","Trend","Trend change = 15.292","Strong upward trend over the sample period."
"CPI: FBSS: Restaurants, Cafes & Pubs","Seasonality","Seasonal range = 0.743","Very weak seasonality."
"CPI: FBSS: Restaurants, Cafes & Pubs","Residual","Residual range = 1.811","Moderate irregular variation."
"CPI: FBSS: Fast Food","Trend","Trend change = 18.577","Strong upward trend over the sample period."
"CPI: FBSS: Fast Food","Seasonality","Seasonal range = 1.09","Mild seasonal pattern."
"CPI: FBSS: Fast Food","Residual","Residual range = 2.832","Relatively high irregular fluctuations."
"CPI: FBSS: Hawker Food Incl. Food Courts (HF&FC)","Trend","Trend change = 16.221","Strong upward trend over the sample period."
"CPI: FBSS: Hawker Food Incl. Food Courts (HF&FC)","Seasonality","Seasonal range = 0.369","Very weak seasonality."
"CPI: FBSS: Hawker Food Incl. Food Courts (HF&FC)","Residual","Residual range = 1.37","Moderate irregular variation."
"CPI: FBSS: Oth Catering Services, Incl Vending Machines","Trend","Trend change = 13.563","Strong upward trend over the sample period."
"CPI: FBSS: Oth Catering Services, Incl Vending Machines","Seasonality","Seasonal range = 1.014","Mild seasonal pattern."
"CPI: FBSS: Oth Catering Services, Incl Vending Machines","Residual","Residual range = 2.919","Relatively high irregular fluctuations."
"CPI: All Items Less Accommodation","Trend","Trend change = 15.632","Strong upward trend over the sample period."
"CPI: All Items Less Accommodation","Seasonality","Seasonal range = 0.417","Very weak seasonality."
"CPI: All Items Less Accommodation","Residual","Residual range = 1.343","Moderate irregular variation."
"CPI: All Items Less Imputed Rentals For Housing","Trend","Trend change = 15.414","Strong upward trend over the sample period."
"CPI: All Items Less Imputed Rentals For Housing","Seasonality","Seasonal range = 0.773","Very weak seasonality."
"CPI: All Items Less Imputed Rentals For Housing","Residual","Residual range = 1.362","Moderate irregular variation."
